location name,address,square footage,contact information,website,open date,management,developer,list of stores
Alamance Crossing,3110 Waltham blvd Burlington NC 27215,No info,No info,No info,No info,No info,No info,"Hallmark, LensCrafters, Buckle, Naturalizer, New York & Company, Foot Locker, Johnston & Murphy, Steve Madden, Dick's Sporting Goods, Nike, Hobby Lobby, Pier 1 Imports, Icing, Icing by Claire’s, Kay Jewelers, American Eagle Outfitters, Sony, Bath & Body Works, GNC, Yankee Candle"
Albertville Premium Outlets,"6415 Labeaux Ave NE, Albertville, MN 55301-9813",430 000 sf,No info,No info,"may 22, 2000",simon properties,No info,"Carter's, Aeropostale, Ann Taylor, Banana Republic, Charlotte Russe, Chico's, All shops, Coach, Destination Maternity, Eddie Bauer, Gap, HanesBrands, Lane Bryant, Levi's, Max Azria, Michael Kors, Motherhood Maternity, Naturalizer, Nautica, New York & Company, Perfumania, Polo Ralph Lauren, Tommy Hilfiger, Zumiez, Aerosoles, Aldo, Clarks Bostonian, Converse, Crocs, All shops, Ecco, Famous Footwear, Izod, Journeys, Rockport, Skechers, Ugg Australia, Adidas, Columbia, Finish Line, Lids, Lululemon athletica, All shops, Nike, Puma, Reebok, Fossil, Icing, Kay Jewelers, Zales, The Children's Place, Calvin Klein, Casual Male XL, Old Navy, Bose, Bath & Body Works, Vitamin World, Yankee Candle, Samsonite"
Alderwood Mall,"Inside Alderwood Mall next to JCPenney, 3000 184th Street SW, Space 112, Lynnwood, WA, 98037",1 300 000 sf,No info,No info,No info,No info,No info,"American Girl, Soma Intimates, Spencer's, Things Remembered, American Apparel, Banana Republic, Buckle, Cache, Chico's, All shops, Destination Maternity, Express, Gap, Hollister Co., Hot Topic, Lane Bryant, Michael Kors, Victoria's Secret, Wet Seal, Sanrio, Foot Locker, J. Jill, Journeys, New Balance, The Walking Company, Sephora, Finish Line, Just Sports, Lids, Nike, Empire Today, Ben Bridge Jewelers, Brighton Collectibles, Helzberg Diamonds, Icing, Precision Time, All shops, Zales, Abercrombie & Fitch, American Eagle Outfitters, Billabong, Brookstone, GameStop, Aveda, Bath & Body Works, Vitamin World, Yankee Candle, Panera Bread, Sears, Nordstrom"
Alexandria Mall,"3437 Masonic Drive Alexandria, LA 71301",No info,No info,No info,No info,No info,No info,"Aeropostale, Buckle, Burlington Coat Factory, Express, Hot Topic, All shops, Motherhood Maternity, The Limited, Foot Locker, Payless Shoe Source, Finish Line, Footaction USA, Hibbett Sports, Lids, Target, Kay Jewelers, Zales, RadioShack, GNC, Vitamin World, Sears"
Algonquin Commons,"1900 S. Randall Rd., Algonquin, IL 60102",No info,No info,No info,No info,No info,No info,"Carter's, Hallmark, Aeropostale, Charlotte Russe, Charming Charlie, Chico's, Coldwater Creek, All shops, Express, Gap, Hollister Co., New York & Company, Ross Dress For Less, Torrid, Victoria's Secret, J. Jill, Dick's Sporting Goods, Sleep Number, Zales, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, Old Navy, Bath & Body Works, GNC, Yankee Candle"
Allen Premium Outlets,"820 W Stacy Rd, Allen, TX",442 000 sf,No info,No info,"april 21, 2000",simon properties,No info,"Carter's, Aeropostale, Ann Taylor, Banana Republic, Charlotte Russe, Chico's, All shops, Coach, Express, Gap, Kate Spade, Lane Bryant, Levi's, Max Azria, Michael Kors, Naturalizer, Nautica, Neiman Marcus, New York & Company, Perfumania, Polo Ralph Lauren, Tommy Hilfiger, Zumiez, Aldo, Clarks Bostonian, Cole Haan, Converse, Crocs, All shops, Famous Footwear, Izod, Johnston & Murphy, Journeys, Lacoste, Rack Room Shoes, Skechers, Steve Madden, Adidas, Columbia, Nike, Pro Image, Puma, All shops, Reebok, Kay Jewelers, Movado, Zales, The Children's Place, American Eagle Outfitters, Brooks Brothers, Calvin Klein, Casual Male XL, Hurley, All shops, True Religion, Vitamin World, Samsonite"
Almeda Mall,"12200 Gulf Fwy, Houston, TX 77034",825 000 sf,No info,No info,"july 9, 1966",fox properties,No info,"Rainbow, Burlington Coat Factory, Perfumania, Foot Locker, Finish Line, Lids, Claire's Boutique, Gordon's Jewelers, RadioShack, GNC, Vitamin World"
Altamonte Mall,"451 East Altamonte Drive Altamonte Springs, Florida 32701",1 150 000 sf,No info,No info,"july 13, 1974",general growth properties,No info,"Rainbow, Spencer's, Things Remembered, Banana Republic, Buckle, Cache, Charlotte Russe, Express, All shops, Gap, Hollister Co., Hot Topic, Lane Bryant, Perfumania, Torrid, Victoria's Secret, Wet Seal, White House | Black Market, Barnes & Noble, Aldo, Foot Locker, Journeys, Skechers, Ulta Beauty, Champs Sports, Finish Line, Lids, Nike, Brighton Collectibles, Helzberg Diamonds, Kay Jewelers, Zales, Build-A-Bear Workshop, Abercrombie & Fitch, American Eagle Outfitters, GameStop, Bath & Body Works, GNC, Yankee Candle, Sears"
Anchorage 5th Avenue Mall,"320 W 5th Ave, Anchorage, AK 99501-2353",447 000 sf,No info,No info,"january 1, 1987",simon properties,No info,"Hallmark, Aeropostale, Banana Republic, bebe, Buckle, Coach, All shops, Eddie Bauer, Gap, Hot Topic, Michael Kors, Perfumania, Wet Seal, Zumiez, Famous Footwear, Foot Locker, Journeys, Sephora, Lids, Kay Jewelers, Pandora, Abercrombie & Fitch, American Eagle Outfitters, RadioShack, GameStop, GNC, Lush, Nordstrom"
Anderson Mall,"3131 N Main St, Anderson, SC 29621-2764",671 000 sf,No info,No info,No info,simon properties,No info,"Claire's Accessories, Hallmark, LensCrafters, Aeropostale, Chico's, Express, Hollister Co., Hot Topic, All shops, Lane Bryant, New York & Company, Perfumania, Victoria's Secret, Foot Locker, Journeys, Rack Room Shoes, Champs Sports, Footaction USA, Lids, Kay Jewelers, The Children's Place, American Eagle Outfitters, Bath & Body Works, GNC, Sears"
Animas Valley Mall,"4601 East Main Street, Farmington, New Mexico 87402",No info,No info,No info,No info,No info,No info,"Spencer's, Things Remembered, Aeropostale, Buckle, Cache, DEB, Hot Topic, All shops, Ross Dress For Less, Zumiez, Famous Footwear, Foot Locker, Journeys, Payless Shoe Source, Lids, JCPenney, Kay Jewelers, Zales, The Children's Place, Best Buy, RadioShack, Bath & Body Works, GNC, Sears"
Antelope Valley Mall,"1233 Rancho Vista Blvd Palmdale, CA 93551",No info,No info,No info,No info,No info,No info,"Carter's, Rainbow, Accessorize, LensCrafters, Swarovski, Things Remembered, Aeropostale, Buckle, Burberry, Charming Charlie, Express, All shops, Hot Topic, Lane Bryant, Michael Kors, Motherhood Maternity, New York & Company, Papaya, Tommy Hilfiger, Torrid, Victoria's Secret, Wet Seal, Zumiez, Converse, Famous Footwear, Foot Locker, Journeys, Skechers, All shops, Steve Madden, Ugg Australia, Sephora, Dick's Sporting Goods, Finish Line, Lids, Nike, Sleep Number, Helzberg Diamonds, Icing, Kay Jewelers, Movado, Zales, Build-A-Bear Workshop, Old Navy, RadioShack, Sony, GameStop, Bath & Body Works, GNC, Vitamin World, Sears"
Apache Mall,"Apache Mall Hwys 52 South & 14 East Rochester, Minnesota 55902",No info,No info,No info,No info,No info,No info,"Justice & Brothers, Spencer's, Things Remembered, Aeropostale, Buckle, Coach, Express, Gap, All shops, Hot Topic, Motherhood Maternity, New York & Company, Vanity, Victoria's Secret, Wet Seal, Zumiez, Barnes & Noble, Foot Locker, Champs Sports, Lids, Nike, Cut Above Home, Icing, Kay Jewelers, Zales, American Eagle Outfitters, Best Buy, Bath & Body Works, GNC, Vitamin World"
Apple Blossom Mall,"1850 Apple Blossom Dr, Winchester, VA 22601-5136",442 630 sf,No info,No info,No info,simon property group,No info,"Claire's Accessories, Hallmark, LensCrafters, Aeropostale, Charlotte Russe, Express, Hollister Co., Hot Topic, All shops, New York & Company, Victoria's Secret, Zumiez, Journeys, Sephora, Finish Line, Lids, Sleep Number, Kay Jewelers, Zales, The Children's Place, American Eagle Outfitters, Best Buy, RadioShack, GameStop, Bath & Body Works, GNC, Yankee Candle, Sears"
Arbor Lakes,"12459 Elm Creek Boulevard N Maple Grove, MN 55369",No info,No info,No info,No info,No info,No info,"Rainbow, Soma Intimates, LensCrafters, Anthropologie, Banana Republic, Buckle, Express, Francesca's Collections, All shops, Gap, Hot Topic, Lane Bryant, Victoria's Secret, Wet Seal, White House | Black Market, Converse, Dr. Martens, J. Jill, Johnston & Murphy, Journeys, All shops, New Balance, Ulta Beauty, Finish Line, Sleep Number, American Eagle Outfitters, Brooks Brothers, Bath & Body Works, Yankee Candle"
Arbor Place,"6700 Douglas Blvd. Douglasville, GA 30135",No info,No info,No info,No info,No info,No info,"Rainbow, Hallmark, LensCrafters, Things Remembered, Aeropostale, Body Central, Buckle, Burberry, Charlotte Russe, All shops, Charming Charlie, Coach, DTLR, Express, H&M, Hollister Co., Hot Topic, Michael Kors, Motherhood Maternity, New York & Company, Papaya, Perfumania, Polo Ralph Lauren, Victoria's Secret, Zumiez, Converse, Dr. Martens, Foot Locker, Journeys, New Balance, All shops, Timberland, Ulta Beauty, Finish Line, Hibbett Sports, Lids, Nike, Reebok, Bed Bath & Beyond, JCPenney, Sleep Number, Icing, Kay Jewelers, Movado, Zales, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, Calvin Klein, House of Hoops, Hurley, All shops, Old Navy, Best Buy, Sony, GameStop, 100% Pure, Bath & Body Works, GNC, Lush, Vitamin World, Sears"
Arden Fair Mall,"Arden Fair 1689 Arden Way Suite 1167 Sacramento, CA 95815",No info,No info,No info,No info,No info,No info,"LensCrafters, Swarovski, Things Remembered, Aeropostale, Ann Taylor, Banana Republic, bebe, Buckle, All shops, Cache, Coach, Express, Gap, Hot Topic, Lane Bryant, Michael Kors, Motherhood Maternity, New York & Company, The Limited, Torrid, Victoria's Secret, Wet Seal, White House | Black Market, Zumiez, Sanrio, Aldo, Crocs, Ecco, Foot Locker, Journeys, All shops, Skechers, The Walking Company, Kiehl’s, Sephora, Champs Sports, Lids, Lululemon athletica, Sleep Number, Brighton Collectibles, Icing, Kay Jewelers, Pandora, Precision Time, All shops, Zales, Disney Store, LEGO, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, House of Hoops, True Religion, Best Buy, Brookstone, GameStop, Art of Shaving, GNC, Lush, Proactiv Solution, Yankee Candle, Sears, Nordstrom"
Arizona Center,"400 East Van Buren Street Phoenix, AZ 85004-2240",No info,No info,No info,No info,cbre,No info,New York & Company
Arizona Mills,"5000 S Arizona Mills Cir, Tempe, AZ 85282-6402",1 200 000 sf,No info,No info,"may 23, 2007",simon properties,No info,"Carter's, Claire's Accessories, LensCrafters, Things Remembered, Aeropostale, bebe, Burlington Coat Factory, Charlotte Russe, Chico's, All shops, Coach, Eddie Bauer, Express, Gap, Hot Topic, Levi's, Motherhood Maternity, Neiman Marcus, Papaya, Perfumania, Ross Dress For Less, Tommy Hilfiger, Victoria's Secret, Zumiez, Sanrio, Converse, Crocs, Famous Footwear, Foot Locker, Izod, All shops, Journeys, New Balance, Rack Room Shoes, Rockport, Skechers, Timberland, Adidas, Champs Sports, Columbia, Finish Line, Just Sports, All shops, Lids, Nike, Puma, Reebok, Sports Authority, LoveSac, Marshalls, Kay Jewelers, Zales, Disney Store, LEGO, The Children's Place, American Eagle Outfitters, Hurley, Old Navy, RadioShack, GameStop, Bath & Body Works, Vitamin World, Sears, Samsonite"
Arrowhead Towne Center,"Arrowhead Towne Center 7700 W. Arrowhead Towne Center Glendale, AZ 85308-8612",No info,No info,No info,No info,No info,No info,"Soma Intimates, LensCrafters, Spencer's, Things Remembered, Aeropostale, Buckle, Cotton On, Express, Hollister Co., All shops, Hot Topic, Lane Bryant, Motherhood Maternity, The Limited, Torrid, Victoria's Secret, Wet Seal, Zumiez, Aldo, Famous Footwear, Foot Locker, Journeys, Skechers, Sephora, Champs Sports, Dick's Sporting Goods, Just Sports, Lids, Fossil, Helzberg Diamonds, Icing, Kay Jewelers, Precision Time, All shops, Zales, Build-A-Bear Workshop, Disney Store, LEGO, The Children's Place, American Eagle Outfitters, GameStop, Proactiv Solution, Vitamin World, Sears"
Arsenal Mall,"485 Arsenal St #37 Watertown, MA 02472",400 000 sf,No info,No info,No info,wilder companies,wilder companies,"Ann Taylor, Gap, Victoria's Secret, Sports Authority, Marshalls, Old Navy"
Arundel Mills,"7000 Arundel Mills Cir, Hanover, MD 21076-1282",1 300 000 sf,No info,No info,No info,simon property group,the mills corporation,"Carter's, Accessorize, Spencer's, Swarovski, Things Remembered, Aeropostale, Ann Taylor, Banana Republic, Body Central, Burlington Coat Factory, All shops, Charlotte Russe, Coach, DKNY, Eddie Bauer, Express, Forever21, Gap, Garage, HanesBrands, Hot Topic, Kate Spade, Lane Bryant, Levi's, Michael Kors, Motherhood Maternity, Naturalizer, Neiman Marcus, New York & Company, Papaya, Perfumania, The Limited, Tommy Hilfiger, Torrid, Vanity, Victoria's Secret, Wet Seal, Zumiez, Aerosoles, Aldo, Clarks Bostonian, Converse, Crocs, All shops, Dr. Martens, Famous Footwear, Foot Locker, Journeys, New Balance, Rack Room Shoes, Skechers, Timberland, Adidas, Champs Sports, Columbia, Finish Line, Lids, All shops, Nike, Puma, Bed Bath & Beyond, Sleep Number, Target, Fashion Time, Fossil, Helzberg Diamonds, Icing, Kay Jewelers, All shops, Zales, Disney Store, LEGO, The Children's Place, American Eagle Outfitters, Calvin Klein, Old Navy, Best Buy, RadioShack, Sony, GameStop, Bath & Body Works, GNC, Lush, Vitamin World, Samsonite"
Asheville Mall,"3 South Tunnel Road, Asheville, NC 28805",No info,No info,No info,No info,No info,No info,"Hallmark, LensCrafters, Swarovski, Things Remembered, Aeropostale, Banana Republic, Buckle, Charlotte Russe, Eddie Bauer, All shops, Express, Gap, Hollister Co., Hot Topic, Lane Bryant, Motherhood Maternity, Perfumania, Torrid, Victoria's Secret, Barnes & Noble, Dr. Martens, Foot Locker, Johnston & Murphy, Journeys, Ugg Australia, Ulta Beauty, Champs Sports, Finish Line, Lids, Nike, Sleep Number, Helzberg Diamonds, Icing, Kay Jewelers, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, Old Navy, Best Buy, RadioShack, GameStop, Bath & Body Works, GNC, Proactiv Solution, Yankee Candle, Sears"
Ashland Town Center,500 Winchester avenue Ashland KY 41101,420 820 sf,No info,No info,No info,No info,"glimcher realty trust, edward j. debartolo, crown american","Hallmark, Jo-Ann, Spencer's, Things Remembered, Aeropostale, Body Central, Buckle, Charlotte Russe, Lane Bryant, All shops, Vanity, Victoria's Secret, Dr. Martens, Journeys, Rack Room Shoes, Sephora, Finish Line, Hibbett Sports, Lids, Nike, Kay Jewelers, Zales, The Children's Place, American Eagle Outfitters, RadioShack, GameStop, Bath & Body Works, Panera Bread"
Ashtabula Towne Square,"3315 N. Ridge East, Unit #700 Ashtabula",1 074 470 sf,No info,No info,"may 6, 1992",jones lang lasalle,No info,"Kay Jewelers, RadioShack, Bath & Body Works, GNC"
Assembly Row,100 Foley St. Somerville MA 617-440-5565,No info,No info,No info,No info,No info,No info,"Banana Republic, Charlotte Russe, Express, Motherhood Maternity, Converse, Adidas"
Atlantic Station,"1380 Atlantic Dr NW Atlanta, GA 30363",No info,No info,No info,No info,No info,No info,"American Apparel, Ann Taylor, Athleta, Banana Republic, Dillard’s, All shops, Express, Gap, Victoria's Secret, Journeys, Target, Icing, Pandora, Old Navy, Bath & Body Works, Lush"
Atlantic Terminal,"625 Atlantic Avenue Brooklyn, NY 11217",No info,No info,No info,No info,No info,No info,No info
Atrium mall,"James R. Thompson Center - 100 W Randolph St - Chicago, IL 60601 312-346-0777",No info,No info,No info,No info,No info,No info,"Express, GNC"
Auburn Mall,"385 Southbridge St, Auburn, MA 01501-2498",588 000 sf,No info,No info,No info,simon properties group,No info,"Hallmark, LensCrafters, Things Remembered, Aeropostale, Charlotte Russe, Express, Hollister Co., Hot Topic, All shops, New York & Company, Victoria's Secret, Wet Seal, Aldo, Famous Footwear, Foot Locker, Journeys, Finish Line, Lids, Claire's Boutique, Kay Jewelers, Zales, The Children's Place, American Eagle Outfitters, Best Buy, RadioShack, GameStop, Bath & Body Works, GNC, Sears"
Augusta Mall,"Augusta Mall 3450 Wrightsboro Road Augusta, Georgia 30909",1 300 000 sf,No info,No info,"august 3, 1978",general growth properties,rouse,"Soma Intimates, LensCrafters, Spencer's, Things Remembered, Aeropostale, Ann Taylor, Banana Republic, Buckle, Charlotte Russe, All shops, Charming Charlie, Chico's, Coach, Express, Gap, Hollister Co., Hot Topic, Lane Bryant, Michael Kors, Motherhood Maternity, New York & Company, Victoria's Secret, Wet Seal, Barnes & Noble, Aldo, Foot Locker, Journeys, Sephora, Champs Sports, Dick's Sporting Goods, Finish Line, Lids, Nike, Gordon's Jewelers, Helzberg Diamonds, Icing, Kay Jewelers, Pandora, All shops, Zales, Build-A-Bear Workshop, American Eagle Outfitters, Men's Wearhouse and Tux, GameStop, Bath & Body Works, GNC, Yankee Candle, Sears"
Aurora Farms Premium Outlets,"549 South Chillcothe Rd, Aurora, OH 44202-7848",285 000 sf,No info,No info,"may 23, 1987",simon properties,No info,"Carter's, Aeropostale, Ann Taylor, Banana Republic, Chico's, Coach, All shops, Eddie Bauer, Express, Gap, HanesBrands, Levi's, Michael Kors, Nautica, Perfumania, Polo Ralph Lauren, Tommy Hilfiger, Clarks Bostonian, Crocs, Famous Footwear, Journeys, Skechers, Adidas, Finish Line, Nike, Zales, The Children's Place, American Eagle Outfitters, Brooks Brothers, Calvin Klein, Bose, Yankee Candle, Samsonite"
Aventura Mall,"19501 Biscayne Blvd, Aventura, FL 33180",2 700 000 sf,No info,No info,"april 22, 1985",turnberry associates,No info,"LensCrafters, Swarovski, bebe, Burberry, Cache, Chico's, Coach, All shops, Desigual, Diesel, Express, Hot Topic, Michael Kors, Perfumania, The Limited, Tommy Hilfiger, Victoria's Secret, Wet Seal, Aldo, Cole Haan, Crocs, Easy Spirit, Foot Locker, All shops, Geox, Johnston & Murphy, Journeys, New Balance, Steve Madden, Stuart Weitzman, The Walking Company, Sephora, Adidas, Champs Sports, Lids, Lululemon athletica, Puma, JCPenney, Brighton Collectibles, Fossil, Henri Bendel, Kay Jewelers, Disney Store, Abercrombie & Fitch, American Eagle Outfitters, Calvin Klein, Brookstone, Sony, Aveda, Bath & Body Works, Crabtree & Evelyn, GNC, Sears, Nordstrom"
Aviation Mall,"Aviation Mall 578 Aviation Road Queensbury, NY 12804",No info,No info,No info,No info,No info,No info,"Aeropostale, Victoria's Secret, Zumiez, Famous Footwear, Foot Locker, Dick's Sporting Goods, Target, Kay Jewelers, Zales, American Eagle Outfitters, RadioShack, GameStop, Bath & Body Works, GNC, Sears"
Baldwin Hills Crenshaw Plaza,"Baldwin Hills Crenshaw Plaza 3650 West Martin Luther King Blvd. Los Angeles, California 90008",No info,No info,No info,No info,No info,No info,"Buckle, Express, Lane Bryant, Victoria's Secret, Converse, Foot Locker, Sally Beauty Supply, Adidas, Nike, Pro Image, The Children's Place, GameStop, Bath & Body Works, GNC, Sears"
Bangor Mall,"663 Stillwater Ave, Bangor, ME 04401-3606",653 000 sf,No info,No info,No info,simon property group,No info,"Hallmark, LensCrafters, Things Remembered, Aeropostale, Charlotte Russe, Express, Gap, Hot Topic, All shops, Lane Bryant, New York & Company, Victoria's Secret, Foot Locker, Journeys, Payless Shoe Source, Dick's Sporting Goods, Finish Line, Lids, Sleep Number, Kay Jewelers, Pandora, Zales, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, RadioShack, GameStop, Bath & Body Works, GNC, Yankee Candle, Sears"
Barton Creek Square,"2901 S Capital of Texas Hwy, Austin, TX 78746-8137",1 430 000 sf,No info,No info,No info,simon property group,simon property group,"Rainbow, Soma Intimates, Accessorize, Hallmark, LensCrafters, Swarovski, Things Remembered, Aeropostale, Ann Taylor, Banana Republic, bebe, Buckle, All shops, Cache, Chico's, Coach, Cotton On, Dillard’s, Express, Forever21, Gap, Garage, Hollister Co., Hot Topic, Lane Bryant, Michael Kors, Motherhood Maternity, New York & Company, Papaya, Perfumania, The Limited, Vanity, Victoria's Secret, Wet Seal, Zumiez, Aldo, Converse, Crocs, Dr. Martens, Foot Locker, All shops, J. Jill, Johnston & Murphy, Journeys, Skechers, Steve Madden, Timberland, Ugg Australia, Sephora, Adidas, Champs Sports, Columbia, Finish Line, Lids, All shops, Lululemon athletica, Nike, Pro Image, Macy’s, Sleep Number, Ben Bridge Jewelers, Brighton Collectibles, Helzberg Diamonds, Icing, Kay Jewelers, All shops, Pandora, Precision Time, Zales, Build-A-Bear Workshop, LEGO, Abercrombie & Fitch, American Eagle Outfitters, Old Navy, Best Buy, Brookstone, GameStop, Art of Shaving, Aveda, Bath & Body Works, GNC, Yankee Candle, Sears, Nordstrom, Vera Bradley"
Battlefield Mall,"2825 S Glenstone Ave, Springfield, MO 65804-3732",1 190 000 sf,No info,No info,No info,simon property group,No info,"Soma Intimates, Hallmark, LensCrafters, Things Remembered, Aeropostale, Ann Taylor, Banana Republic, Body Central, Buckle, All shops, Charlotte Russe, Charming Charlie, Chico's, Coach, Express, Francesca's Collections, Hot Topic, Lane Bryant, New York & Company, Perfumania, The Limited, Torrid, Vanity, Victoria's Secret, Zumiez, Aldo, Foot Locker, J. Jill, Journeys, Rack Room Shoes, All shops, The Walking Company, Sephora, Champs Sports, Finish Line, Lids, Andrews Jewelers, Gordon's Jewelers, Helzberg Diamonds, Icing, Kay Jewelers, All shops, Pandora, Zales, The Children's Place, American Eagle Outfitters, Old Navy, Best Buy, GameStop, Bare Minerals, Bath & Body Works, GNC, Yankee Candle, Sears"
Bay City Mall,"4101 East Wilder Road, Bay City, Michigan 48706",No info,No info,No info,No info,No info,No info,"Aeropostale, Marshalls, Target, Claire's Boutique, Zales, RadioShack, GNC"
Bay Park Square,"303 Bay Park Sq, Green Bay, WI 54304-5104",712 000 sf,No info,No info,No info,simon property group,edward j. debartolo corp.,"Justice & Brothers, Hallmark, LensCrafters, Things Remembered, Aeropostale, Buckle, Charlotte Russe, Express, Francesca's Collections, All shops, Gap, Hot Topic, New York & Company, Perfumania, Torrid, Vanity, Victoria's Secret, Wet Seal, Zumiez, Famous Footwear, Foot Locker, Journeys, Finish Line, Lids, Icing, Kay Jewelers, Zales, American Eagle Outfitters, Men's Wearhouse and Tux, Old Navy, Best Buy, RadioShack, GameStop, Bath & Body Works, Yankee Candle"
